City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tongliao,43.6125,122.2653,59.22,23,69,21.07,CN,2023-10-04 03:48:01
1,ilulissat,69.2167,-51.1,26.62,50,30,11.5,GL,2023-10-04 03:48:01
2,margaret river,-33.95,115.0667,60.53,64,99,7.11,AU,2023-10-04 03:48:01
3,kingsbridge,50.2845,-3.7764,56.61,89,100,10.71,GB,2023-10-04 03:48:02
4,puerto natales,-51.7236,-72.4875,39.25,92,97,6.87,CL,2023-10-04 03:43:31
5,kongsvinger,60.1905,11.9977,47.07,87,14,4.14,NO,2023-10-04 03:48:02
6,saipan,15.1355,145.701,88.5,70,40,13.8,MP,2023-10-04 03:48:02
7,west island,-12.1568,96.8225,80.58,65,40,19.57,CC,2023-10-04 03:48:02
8,isafjordur,66.0755,-23.124,38.8,99,100,17.02,IS,2023-10-04 03:48:02
9,waitangi,-43.9535,-176.5597,48.81,78,14,5.01,NZ,2023-10-04 03:48:02
10,ulladulla,-35.35,150.4667,74.77,53,100,17.52,AU,2023-10-04 03:48:02
11,uray,60.1247,64.7758,49.87,95,100,5.99,RU,2023-10-04 03:48:02
12,albany,42.6001,-73.9662,65.8,92,3,1.99,US,2023-10-04 03:48:02
13,dhidhdhoo,6.8833,73.1,79.16,88,100,14.23,MV,2023-10-04 03:48:02
14,olonkinbyen,70.9221,-8.7187,32.74,64,100,11.97,SJ,2023-10-04 03:48:02
15,musoma,-1.5,33.8,69.24,54,100,6.85,TZ,2023-10-04 03:48:03
16,az zuwaytinah,30.9522,20.1202,70.75,66,0,12.3,LY,2023-10-04 03:48:03
17,masterton,-40.9597,175.6575,55.89,56,18,5.53,NZ,2023-10-04 03:48:03
18,conceicao do araguaia,-8.2578,-49.2647,86.09,34,72,3.56,BR,2023-10-04 03:48:03
19,balqash,46.8481,74.995,50.59,81,0,15.66,KZ,2023-10-04 03:48:03
20,grytviken,-54.2811,-36.5092,33.48,97,100,4.36,GS,2023-10-04 03:48:03
21,remire-montjoly,4.9167,-52.2667,77.04,94,20,1.14,GF,2023-10-04 03:48:03
22,ushuaia,-54.8,-68.3,47.86,97,0,12.66,AR,2023-10-04 03:48:03
23,mossel bay,-34.1831,22.146,57.13,90,87,16.46,ZA,2023-10-04 03:48:03
24,salinas,36.6777,-121.6555,65.07,88,40,5.75,US,2023-10-04 03:44:20
25,port hedland,-20.3167,118.5667,96.85,6,48,14.97,AU,2023-10-04 03:48:03
26,port-aux-francais,-49.35,70.2167,41.9,93,100,53.44,TF,2023-10-04 03:48:04
27,jiayuguan,39.8167,98.3,63.1,24,36,12.24,CN,2023-10-04 03:48:04
28,petropavlovsk-kamchatsky,53.0452,158.6483,57.79,51,75,13.42,RU,2023-10-04 03:48:04
29,poronaysk,49.2167,143.1167,54.28,75,73,11.23,RU,2023-10-04 03:48:04
30,stanley,54.868,-1.6985,51.78,91,20,11.5,GB,2023-10-04 03:48:04
31,edinburgh of the seven seas,-37.0676,-12.3116,50.59,66,93,12.26,SH,2023-10-04 03:48:04
32,lebu,-37.6167,-73.65,46.58,82,1,9.64,CL,2023-10-04 03:48:04
33,ancud,-41.8697,-73.8203,45.09,88,94,1.12,CL,2023-10-04 03:48:04
34,inirida,3.8653,-67.9239,76.55,84,90,3.29,CO,2023-10-04 03:48:04
35,blackmans bay,-43.0167,147.3167,51.53,80,100,5.93,AU,2023-10-04 03:48:04
36,nova sintra,14.8667,-24.7167,74.48,77,86,1.23,CV,2023-10-04 03:48:04
37,iqaluit,63.7506,-68.5145,31.73,86,75,8.05,CA,2023-10-04 03:48:04
38,happy valley-goose bay,53.3168,-60.3315,41.31,56,75,10.36,CA,2023-10-04 03:48:05
39,bethel,41.3712,-73.414,66.72,87,0,0.0,US,2023-10-04 03:48:05
40,qaqortoq,60.7167,-46.0333,36.97,92,100,3.69,GL,2023-10-04 03:48:05
41,papatowai,-46.5619,169.4708,65.25,64,97,6.58,NZ,2023-10-04 03:48:05
